CpG,Beta,SE,P,StudyID
cg02342148,3.42,0.6155,2.76e-08,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg13390284,6.66,0.9294,7.71e-13,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg15645660,2.24,0.3582,4.01e-10,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg15821544,5.11,0.7863,8.09e-11,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg26407544,5.38,0.9307,7.44e-09,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg05731218,-7.76,0.9585,5.67e-16,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg14074251,3.97,0.7104,2.29e-08,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg18346707,5.99,1.0617,1.68e-08,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg18556455,4.42,0.8301,1.01e-07,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg21644387,-5.51,1.0214,6.87e-08,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg22385702,3.53,0.5286,2.43e-11,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg22883290,4.44,0.8305,8.97e-08,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg04252044,-3.62,0.5437,2.78e-11,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg12307200,-5.56,0.6382,2.97e-18,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg16459281,3.73,0.7002,1e-07,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg27409802,-6.84,1.028,2.86e-11,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg12114584,5.66,0.882,1.39e-10,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg06742628,4.58,0.7453,7.97e-10,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg22941668,3.73,0.6518,1.05e-08,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg07714812,3.97,0.7371,7.21e-08,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg24676346,4.31,0.6717,1.39e-10,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg03193328,-5.71,0.9719,4.23e-09,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg08737189,5.94,0.973,1e-09,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg13639901,5.37,0.7559,1.21e-12,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg14430943,4.31,0.6596,6.39e-11,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg19140834,5.77,1.083,9.95e-08,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg22962123,3.08,0.4309,8.79e-13,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg25594100,4.22,0.5796,3.33e-13,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg05066959,2.78,0.3878,7.56e-13,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg10920329,6.46,1.1448,1.67e-08,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg11823178,4.13,0.5529,8.05e-14,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg16140558,5.78,1.0138,1.19e-08,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg17693222,5.11,0.9451,6.41e-08,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg04126866,-4.14,0.6753,8.77e-10,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg19007269,-6.31,0.9934,2.13e-10,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg23968456,4.79,0.8332,9e-09,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg25917732,-4.8,0.7541,1.95e-10,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg18343862,5.24,0.9798,8.89e-08,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg21806242,2.86,0.4007,9.46e-13,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg27443779,5.29,0.8833,2.11e-09,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg12877335,-4.63,0.8037,8.36e-09,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg20546777,5.49,1.0042,4.58e-08,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg27041424,5.07,0.8566,3.24e-09,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg07883124,5.25,0.7077,1.19e-13,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg09448088,4.97,0.7009,1.33e-12,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg20733077,3.72,0.6963,9.16e-08,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg21207436,4.96,0.8432,4e-09,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg11652496,5.06,0.871,6.28e-09,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg24231804,-6.02,0.9156,4.86e-11,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg03169557,4.88,0.8253,3.36e-09,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg16733298,3.96,0.6529,1.32e-09,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg04157161,2.97,0.4376,1.14e-11,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg05322931,3.73,0.6408,5.84e-09,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg05417607,3.97,0.7215,3.74e-08,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg06753513,6.17,0.9669,1.76e-10,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg08324801,-4.45,0.8218,6.12e-08,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg12163800,2.44,0.4593,1.08e-07,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg13076843,2.29,0.4226,5.99e-08,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg18659586,5.3,0.9418,1.83e-08,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg19803550,4.48,0.7929,1.6e-08,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg02308560,3.62,0.5167,2.45e-12,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg20618448,5.15,0.8901,7.21e-09,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
cg13579486,-4.18,0.7058,3.18e-09,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3
