CpG,Beta,SE,P,StudyID
cg10636246,-0.86,0.17,3.7e-07,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model3
cg25420477,1.47,0.3,9.4e-07,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model3
cg07386061,0.86,0.21,4e-05,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model3
cg25769469,-1.41,0.28,4.9e-07,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model3
cg15867698,1.14,0.23,4e-07,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model3
cg04988978,-1.22,0.24,5.4e-07,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model3
cg19448292,1.15,0.23,6.1e-07,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model3
cg16125725,-2.2,0.42,1.4e-07,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model3
cg20700740,-1.31,0.29,4.6e-06,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model3
cg23824902,1.02,0.24,2.2e-05,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model3
cg08922317,1.12,0.24,3.2e-06,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model3
cg03610527,-1.53,0.34,4.7e-06,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model3
cg15029631,-1.21,0.29,2.2e-05,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model3
cg15401418,-1.22,0.25,1e-06,33883000_Fernandez-Sanles-A_acute_myocardial_infarction_meta-analysis_model3
